version,size,arr0,arr1,arr2,arr3,time_alloc,time_init,time_seq_baseline,time_thread_create,time_compute,time_thread_join,time_cleanup,time_total,verification,user
parallel_local_accum,100000000,90000000,90000000,90000000,90000000,0.000046,1.225359,0.0,0.000000,0.079038,0.053324,0.000000,1.357767,PASS,ea24205
sequential,100000,90000,90000,90000,90000,0.000093,0.001964,0.0,0.0,0.000335,0.0,0.0,0.002528,PASS,ea24205
parallel_unpadded,100000,90000,90000,90000,90000,0.000152,0.004328,0.0,0.000000,0.001568,0.000248,0.000000,0.006296,PASS,ea24205
parallel_padded,100000,90000,90000,90000,90000,0.000139,0.004183,0.0,0.000000,0.001223,0.000224,0.000000,0.005769,PASS,ea24205
parallel_local_accum,100000,90000,90000,90000,90000,0.000152,0.004316,0.0,0.000000,0.000742,0.000222,0.000000,0.005432,PASS,ea24205
sequential,1000000,900000,900000,900000,900000,0.000202,0.033089,0.0,0.0,0.004142,0.0,0.0,0.038564,PASS,ea24205
parallel_unpadded,1000000,900000,900000,900000,900000,0.000069,0.018873,0.0,0.000000,0.005389,0.000967,0.000000,0.025298,PASS,ea24205
parallel_padded,1000000,900000,900000,900000,900000,0.000068,0.018731,0.0,0.000000,0.003635,0.000857,0.000000,0.023291,PASS,ea24205
parallel_local_accum,1000000,900000,900000,900000,900000,0.000060,0.016087,0.0,0.000000,0.001826,0.000857,0.000000,0.018830,PASS,ea24205
sequential,10000000,9000000,9000000,9000000,9000000,0.000061,0.110705,0.0,0.0,0.020722,0.0,0.0,0.137653,PASS,ea24205
parallel_unpadded,10000000,9000000,9000000,9000000,9000000,0.000047,0.122198,0.0,0.000000,0.034394,0.006306,0.000000,0.162945,PASS,ea24205
parallel_padded,10000000,9000000,9000000,9000000,9000000,0.000051,0.123291,0.0,0.000000,0.034437,0.006273,0.000000,0.164052,PASS,ea24205
parallel_local_accum,10000000,9000000,9000000,9000000,9000000,0.000043,0.122596,0.0,0.000000,0.012597,0.006384,0.000000,0.141620,PASS,ea24205
sequential,50000000,45000000,45000000,45000000,45000000,0.000050,0.524061,0.0,0.0,0.105053,0.0,0.0,0.656820,PASS,ea24205
parallel_unpadded,50000000,45000000,45000000,45000000,45000000,0.000048,0.605847,0.0,0.000000,0.108475,0.027354,0.000000,0.741724,PASS,ea24205
parallel_padded,50000000,45000000,45000000,45000000,45000000,0.000045,0.606108,0.0,0.000000,0.086452,0.027368,0.000000,0.719973,PASS,ea24205
parallel_local_accum,50000000,45000000,45000000,45000000,45000000,0.000099,0.613978,0.0,0.000000,0.035756,0.027712,0.000000,0.677545,PASS,ea24205
sequential,100000000,90000000,90000000,90000000,90000000,0.000054,1.053846,0.0,0.0,0.210245,0.0,0.0,1.317840,PASS,ea24205
parallel_unpadded,100000000,90000000,90000000,90000000,90000000,0.000099,1.223344,0.0,0.000000,0.389517,0.053702,0.000000,1.666662,PASS,ea24205
parallel_padded,100000000,90000000,90000000,90000000,90000000,0.000046,1.219817,0.0,0.000001,0.305272,0.053214,0.000000,1.578350,PASS,ea24205
parallel_local_accum,100000000,90000000,90000000,90000000,90000000,0.000050,1.220523,0.0,0.000001,0.085219,0.053423,0.000000,1.359216,PASS,ea24205
sequential,100000,90000,90000,90000,90000,0.000069,0.001514,0.0,0.0,0.000255,0.0,0.0,0.001936,PASS,ea24205
parallel_unpadded,100000,90000,90000,90000,90000,0.000153,0.004292,0.0,0.000001,0.001532,0.000204,0.000000,0.006182,PASS,ea24205
parallel_padded,100000,90000,90000,90000,90000,0.000152,0.004292,0.0,0.000000,0.001270,0.000255,0.000000,0.005969,PASS,ea24205
parallel_local_accum,100000,90000,90000,90000,90000,0.000169,0.004816,0.0,0.000000,0.000841,0.000254,0.000001,0.006081,PASS,ea24205
sequential,1000000,900000,900000,900000,900000,0.000197,0.031831,0.0,0.0,0.003180,0.0,0.0,0.036204,PASS,ea24205
parallel_unpadded,1000000,900000,900000,900000,900000,0.000053,0.014563,0.0,0.000000,0.005875,0.000747,0.000000,0.021238,PASS,ea24205
parallel_padded,1000000,900000,900000,900000,900000,0.000048,0.013035,0.0,0.000000,0.003041,0.000724,0.000000,0.016848,PASS,ea24205
parallel_local_accum,1000000,900000,900000,900000,900000,0.000052,0.013663,0.0,0.000000,0.001543,0.000785,0.000000,0.016043,PASS,ea24205
sequential,10000000,9000000,9000000,9000000,9000000,0.000053,0.108231,0.0,0.0,0.020730,0.0,0.0,0.135225,PASS,ea24205
parallel_unpadded,10000000,9000000,9000000,9000000,9000000,0.000049,0.123544,0.0,0.000000,0.043389,0.006329,0.000000,0.173311,PASS,ea24205
parallel_padded,10000000,9000000,9000000,9000000,9000000,0.000047,0.124116,0.0,0.000000,0.028414,0.006217,0.000000,0.158794,PASS,ea24205
parallel_local_accum,10000000,9000000,9000000,9000000,9000000,0.000049,0.123810,0.0,0.000000,0.011385,0.006332,0.000000,0.141576,PASS,ea24205
sequential,50000000,45000000,45000000,45000000,45000000,0.000052,0.527070,0.0,0.0,0.106985,0.0,0.0,0.662053,PASS,ea24205
parallel_unpadded,50000000,45000000,45000000,45000000,45000000,0.000050,0.607628,0.0,0.000000,0.140600,0.027371,0.000000,0.775649,PASS,ea24205
parallel_padded,50000000,45000000,45000000,45000000,45000000,0.000047,0.606167,0.0,0.000000,0.142312,0.027360,0.000000,0.775886,PASS,ea24205
parallel_local_accum,50000000,45000000,45000000,45000000,45000000,0.000125,0.605448,0.0,0.000000,0.048308,0.027413,0.000000,0.681294,PASS,ea24205
sequential,100000000,90000000,90000000,90000000,90000000,0.000052,1.055156,0.0,0.0,0.213168,0.0,0.0,1.321717,PASS,ea24205
parallel_unpadded,100000000,90000000,90000000,90000000,90000000,0.000047,1.225040,0.0,0.000000,0.385509,0.053336,0.000000,1.663932,PASS,ea24205
parallel_padded,100000000,90000001,90000000,90000000,90000000,0.000047,1.227596,0.0,0.000000,0.285776,0.053163,0.000000,1.566582,PASS,ea24205
parallel_local_accum,100000000,90000000,90000000,90000000,90000000,0.000045,1.225458,0.0,0.000000,0.076513,0.053251,0.000000,1.355267,PASS,ea24205
sequential,100000,90000,90000,90000,90000,0.000180,0.003747,0.0,0.0,0.000619,0.0,0.0,0.004753,PASS,ea24205
parallel_unpadded,100000,90000,90000,90000,90000,0.000152,0.004330,0.0,0.000000,0.001153,0.000234,0.000000,0.005869,PASS,ea24205
parallel_padded,100000,90000,90000,90000,90000,0.000151,0.004333,0.0,0.000000,0.001213,0.000227,0.000001,0.005925,PASS,ea24205
parallel_local_accum,100000,90000,90000,90000,90000,0.000167,0.004301,0.0,0.000000,0.000676,0.000227,0.000000,0.005371,PASS,ea24205
sequential,1000000,900000,900000,900000,900000,0.000163,0.030235,0.0,0.0,0.003221,0.0,0.0,0.034592,PASS,ea24205
parallel_unpadded,1000000,900000,900000,900000,900000,0.000142,0.026835,0.0,0.000000,0.003664,0.000803,0.000000,0.031444,PASS,ea24205
parallel_padded,1000000,900000,900000,900000,900000,0.000047,0.012755,0.0,0.000001,0.003033,0.000711,0.000000,0.016547,PASS,ea24205
parallel_local_accum,1000000,900000,900000,900000,900000,0.000045,0.012757,0.0,0.000000,0.001623,0.000707,0.000000,0.015132,PASS,ea24205
sequential,10000000,9000000,9000000,9000000,9000000,0.000055,0.106840,0.0,0.0,0.021016,0.0,0.0,0.134081,PASS,ea24205
parallel_unpadded,10000000,9000000,9000000,9000000,9000000,0.000130,0.131075,0.0,0.000000,0.022159,0.006263,0.000000,0.159627,PASS,ea24205
parallel_padded,10000000,9000000,9000000,9000000,9000000,0.000172,0.140498,0.0,0.000000,0.022279,0.006555,0.000000,0.169504,PASS,ea24205
