n,threads,sparsity,reps,nnz,time_init,time_csr_construct,time_spmv_total,time_dense_total,verification,user
4000,4,90,1,1601555,0.033393,0.011967,0.000567,0.002731,PASS,phoebus
4000,8,90,1,1601555,0.024385,0.009848,0.000609,0.003493,PASS,phoebus
4000,sequential,90,5,1601555,0.108736,0.032620,0.004699,0.033720,PASS,phoebus
4000,2,90,5,1601555,0.053351,0.016393,0.002552,0.018007,PASS,phoebus
4000,4,90,5,1601555,0.030968,0.010427,0.002756,0.015947,PASS,phoebus
4000,8,90,5,1601555,0.029471,0.011131,0.002681,0.016186,PASS,phoebus
4000,sequential,90,10,1601555,0.105996,0.032744,0.010248,0.080648,PASS,phoebus
4000,2,90,10,1601555,0.053417,0.016356,0.005143,0.035630,PASS,phoebus
4000,4,90,10,1601555,0.031210,0.010239,0.004793,0.027044,PASS,phoebus
4000,8,90,10,1601555,0.026119,0.009559,0.006306,0.029681,PASS,phoebus
4000,sequential,95,1,801651,0.095165,0.025057,0.000518,0.006916,PASS,phoebus
4000,2,95,1,801651,0.048143,0.012182,0.000310,0.003557,PASS,phoebus
4000,4,95,1,801651,0.024656,0.007522,0.000272,0.002605,PASS,phoebus
4000,8,95,1,801651,0.024830,0.007877,0.000450,0.003148,PASS,phoebus
4000,sequential,95,5,801651,0.095169,0.022862,0.002478,0.033967,PASS,phoebus
4000,2,95,5,801651,0.049246,0.012396,0.001218,0.018123,PASS,phoebus
4000,4,95,5,801651,0.026723,0.009514,0.000911,0.015052,PASS,phoebus
4000,8,95,5,801651,0.023694,0.009083,0.001384,0.014664,PASS,phoebus
4000,sequential,95,10,801651,0.139356,0.023717,0.004626,0.067564,PASS,phoebus
4000,2,95,10,801651,0.048839,0.012521,0.002482,0.042551,PASS,phoebus
4000,4,95,10,801651,0.029855,0.008527,0.002196,0.029286,PASS,phoebus
4000,8,95,10,801651,0.022545,0.007547,0.002519,0.030062,PASS,phoebus
4000,sequential,99,1,160453,0.086501,0.016684,0.000120,0.006765,PASS,phoebus
4000,2,99,1,160453,0.044010,0.009437,0.000068,0.003574,PASS,phoebus
4000,4,99,1,160453,0.023852,0.008006,0.000061,0.003527,PASS,phoebus
4000,8,99,1,160453,0.019385,0.006538,0.000131,0.002871,PASS,phoebus
4000,sequential,99,5,160453,0.084140,0.016593,0.000525,0.033719,PASS,phoebus
4000,2,99,5,160453,0.044862,0.008787,0.000275,0.017387,PASS,phoebus
4000,4,99,5,160453,0.028588,0.007930,0.000156,0.014507,PASS,phoebus
4000,8,99,5,160453,0.021787,0.007062,0.000807,0.015473,PASS,phoebus
4000,sequential,99,10,160453,0.085865,0.016466,0.001050,0.067447,PASS,phoebus
4000,2,99,10,160453,0.045329,0.010280,0.000577,0.036465,PASS,phoebus
4000,4,99,10,160453,0.025094,0.007696,0.000488,0.032329,PASS,phoebus
4000,8,99,10,160453,0.022337,0.006586,0.001570,0.030336,PASS,phoebus
1000,sequential,0,1,1000000,0.009699,0.004055,0.001007,0.000740,PASS,phoebus
1000,2,0,1,1000000,0.008977,0.002675,0.000533,0.000370,PASS,phoebus
1000,4,0,1,1000000,0.003652,0.001590,0.000668,0.000342,PASS,phoebus
1000,8,0,1,1000000,0.004738,0.002331,0.000591,0.000510,PASS,phoebus
1000,sequential,0,5,1000000,0.010330,0.003733,0.003273,0.002135,PASS,phoebus
1000,2,0,5,1000000,0.004969,0.001958,0.001706,0.001137,PASS,phoebus
1000,4,0,5,1000000,0.002519,0.001014,0.001198,0.000648,PASS,phoebus
1000,8,0,5,1000000,0.002573,0.001378,0.001736,0.001301,PASS,phoebus
1000,sequential,0,10,1000000,0.009435,0.003561,0.005760,0.004022,PASS,phoebus
1000,2,0,10,1000000,0.004824,0.001924,0.002998,0.002057,PASS,phoebus
1000,4,0,10,1000000,0.002509,0.001403,0.002863,0.001186,PASS,phoebus
1000,8,0,10,1000000,0.003077,0.001404,0.003569,0.003030,PASS,phoebus
1000,sequential,50,1,499790,0.011556,0.005064,0.000268,0.000432,PASS,phoebus
1000,2,50,1,499790,0.006035,0.002714,0.000156,0.000215,PASS,phoebus
1000,4,50,1,499790,0.003418,0.001461,0.000088,0.000129,PASS,phoebus
1000,8,50,1,499790,0.003900,0.001587,0.000301,0.000311,PASS,phoebus
1000,sequential,50,5,499790,0.011821,0.005165,0.001449,0.002039,PASS,phoebus
1000,2,50,5,499790,0.006079,0.003202,0.000857,0.001155,PASS,phoebus
1000,4,50,5,499790,0.003805,0.001702,0.000716,0.001086,PASS,phoebus
1000,8,50,5,499790,0.004065,0.001706,0.001247,0.001838,PASS,phoebus
1000,sequential,50,10,499790,0.011721,0.005205,0.002721,0.004219,PASS,phoebus
1000,2,50,10,499790,0.005973,0.002697,0.002628,0.002145,PASS,phoebus
1000,4,50,10,499790,0.003149,0.001419,0.000752,0.001213,PASS,phoebus
1000,8,50,10,499790,0.003649,0.001739,0.002327,0.003078,PASS,phoebus
1000,sequential,90,1,99877,0.007077,0.002030,0.000057,0.000474,PASS,phoebus
1000,2,90,1,99877,0.003453,0.000997,0.000028,0.000279,PASS,phoebus
1000,4,90,1,99877,0.002325,0.000750,0.000027,0.000205,PASS,phoebus
1000,8,90,1,99877,0.002148,0.000897,0.000224,0.000346,PASS,phoebus
1000,sequential,90,5,99877,0.006482,0.002036,0.000282,0.002211,PASS,phoebus
1000,2,90,5,99877,0.004336,0.001655,0.000148,0.001120,PASS,phoebus
1000,4,90,5,99877,0.002143,0.000646,0.000079,0.000532,PASS,phoebus
1000,8,90,5,99877,0.002280,0.000868,0.000764,0.001384,PASS,phoebus
1000,sequential,90,10,99877,0.006439,0.001963,0.000564,0.004017,PASS,phoebus
1000,2,90,10,99877,0.004788,0.001119,0.000279,0.002101,PASS,phoebus
1000,4,90,10,99877,0.001849,0.000522,0.000211,0.001030,PASS,phoebus
1000,8,90,10,99877,0.002125,0.000893,0.001415,0.002657,PASS,phoebus
1000,sequential,95,1,49623,0.006177,0.001510,0.000029,0.000468,PASS,phoebus
1000,2,95,1,49623,0.003939,0.001265,0.000018,0.000218,PASS,phoebus
1000,4,95,1,49623,0.002038,0.000593,0.000023,0.000215,PASS,phoebus
1000,8,95,1,49623,0.001914,0.000822,0.000185,0.000249,PASS,phoebus
1000,sequential,95,5,49623,0.006005,0.001535,0.000154,0.002064,PASS,phoebus
1000,2,95,5,49623,0.003110,0.000776,0.000080,0.001070,PASS,phoebus
1000,4,95,5,49623,0.002959,0.000692,0.000082,0.001110,PASS,phoebus
1000,8,95,5,49623,0.002065,0.000677,0.000641,0.001328,PASS,phoebus
1000,sequential,95,10,49623,0.006205,0.001489,0.000296,0.003989,PASS,phoebus
1000,2,95,10,49623,0.003071,0.000777,0.000206,0.002052,PASS,phoebus
1000,4,95,10,49623,0.001616,0.000447,0.000400,0.001370,PASS,phoebus
1000,8,95,10,49623,0.002151,0.000989,0.001455,0.002727,PASS,phoebus
1000,sequential,99,1,9838,0.005401,0.001086,0.000011,0.000438,PASS,phoebus
1000,2,99,1,9838,0.002843,0.000507,0.000006,0.000253,PASS,phoebus
1000,4,99,1,9838,0.001484,0.000306,0.000004,0.000100,PASS,phoebus
1000,8,99,1,9838,0.002050,0.000602,0.000120,0.000345,PASS,phoebus
1000,sequential,99,5,9838,0.006787,0.001433,0.000049,0.002285,PASS,phoebus
1000,2,99,5,9838,0.002828,0.000662,0.000035,0.001072,PASS,phoebus
1000,4,99,5,9838,0.001941,0.000460,0.000033,0.001041,PASS,phoebus
1000,8,99,5,9838,0.001706,0.000680,0.000683,0.001283,PASS,phoebus
1000,sequential,99,10,9838,0.005467,0.001154,0.000094,0.005748,PASS,phoebus
1000,2,99,10,9838,0.002798,0.000564,0.000068,0.002064,PASS,phoebus
1000,4,99,10,9838,0.001530,0.000327,0.000113,0.001095,PASS,phoebus
1000,8,99,10,9838,0.001800,0.000627,0.001289,0.002830,PASS,phoebus
2000,sequential,0,1,4000000,0.037132,0.014230,0.002346,0.001660,PASS,phoebus
2000,2,0,1,4000000,0.019150,0.007840,0.001466,0.000906,PASS,phoebus
2000,4,0,1,4000000,0.009559,0.004611,0.001270,0.000625,PASS,phoebus
2000,8,0,1,4000000,0.009751,0.005323,0.001532,0.000871,PASS,phoebus
2000,sequential,0,5,4000000,0.038125,0.014980,0.011917,0.008872,PASS,phoebus
2000,2,0,5,4000000,0.019535,0.007659,0.007187,0.005146,PASS,phoebus
2000,4,0,5,4000000,0.011749,0.006093,0.007094,0.003091,PASS,phoebus
2000,8,0,5,4000000,0.010850,0.005145,0.007044,0.004041,PASS,phoebus
2000,sequential,0,10,4000000,0.036940,0.014729,0.022791,0.017049,PASS,phoebus
2000,2,0,10,4000000,0.018847,0.007566,0.013954,0.011474,PASS,phoebus
2000,4,0,10,4000000,0.012749,0.005841,0.013067,0.008660,PASS,phoebus
2000,8,0,10,4000000,0.008827,0.004714,0.014685,0.008035,PASS,phoebus
2000,sequential,50,1,1999134,0.047138,0.020745,0.001191,0.001674,PASS,phoebus
2000,2,50,1,1999134,0.025253,0.010654,0.000694,0.000889,PASS,phoebus
2000,4,50,1,1999134,0.012231,0.005655,0.000616,0.000614,PASS,phoebus
2000,8,50,1,1999134,0.011328,0.006679,0.000660,0.000803,PASS,phoebus
2000,sequential,50,5,1999134,0.047167,0.020438,0.005832,0.008526,PASS,phoebus
2000,2,50,5,1999134,0.024298,0.010446,0.003651,0.004467,PASS,phoebus
2000,4,50,5,1999134,0.012028,0.005814,0.002555,0.002935,PASS,phoebus
2000,8,50,5,1999134,0.016351,0.006154,0.008505,0.004301,PASS,phoebus
2000,sequential,50,10,1999134,0.046720,0.020498,0.011321,0.016725,PASS,phoebus
2000,2,50,10,1999134,0.023406,0.010406,0.006225,0.008985,PASS,phoebus
2000,4,50,10,1999134,0.012083,0.005833,0.005439,0.005731,PASS,phoebus
2000,8,50,10,1999134,0.011155,0.005624,0.006835,0.007880,PASS,phoebus
2000,sequential,90,1,400283,0.026179,0.007841,0.000227,0.001699,PASS,phoebus
2000,2,90,1,400283,0.013319,0.004142,0.000120,0.000885,PASS,phoebus
2000,4,90,1,400283,0.008767,0.002776,0.000113,0.000872,PASS,phoebus
2000,8,90,1,400283,0.006590,0.003431,0.000360,0.001061,PASS,phoebus
2000,sequential,90,5,400283,0.026312,0.007872,0.001092,0.008353,PASS,phoebus
2000,2,90,5,400283,0.013433,0.004134,0.000610,0.004439,PASS,phoebus
2000,4,90,5,400283,0.006932,0.002386,0.000381,0.002892,PASS,phoebus
2000,8,90,5,400283,0.007142,0.002879,0.000917,0.004096,PASS,phoebus
2000,sequential,90,10,400283,0.027696,0.008319,0.002269,0.017355,PASS,phoebus
2000,2,90,10,400283,0.013366,0.004125,0.001168,0.008725,PASS,phoebus
2000,4,90,10,400283,0.007265,0.002671,0.000619,0.005572,PASS,phoebus
2000,8,90,10,400283,0.006608,0.002731,0.002065,0.008396,PASS,phoebus
2000,sequential,95,1,200047,0.024485,0.005882,0.000123,0.001682,PASS,phoebus
2000,2,95,1,200047,0.012248,0.003045,0.000063,0.000884,PASS,phoebus
2000,4,95,1,200047,0.007767,0.002510,0.000055,0.000844,PASS,phoebus
