locking_scheme,accounts,query_pct,time_alloc,time_init,time_thread_create,time_compute,time_thread_join,time_cleanup,time_total,user
fine,10000,0.5,0.000008,0.000290,0.000135,0.016333,0.000087,0.000001,0.016854,phoebus
fine,10000,0.9,0.000015,0.000542,0.000321,0.014265,0.000078,0.000001,0.015222,phoebus
rwlock,100,0.1,0.000010,0.000007,0.000177,0.014382,0.000001,0.000000,0.014577,phoebus
rwlock,100,0.5,0.000007,0.000006,0.000191,0.014820,0.000001,0.000000,0.015025,phoebus
rwlock,100,0.9,0.000007,0.000003,0.000140,0.011733,0.000002,0.000000,0.011885,phoebus
rwlock,1000,0.1,0.000010,0.000034,0.000164,0.018644,0.000005,0.000000,0.018857,phoebus
rwlock,1000,0.5,0.000032,0.000037,0.000142,0.014100,0.000003,0.000000,0.014314,phoebus
rwlock,1000,0.9,0.000019,0.000030,0.000096,0.011784,0.000002,0.000000,0.011931,phoebus
rwlock,10000,0.1,0.000007,0.000331,0.000105,0.016492,0.000063,0.000000,0.016998,phoebus
rwlock,10000,0.5,0.000007,0.000321,0.000094,0.015188,0.000058,0.000001,0.015669,phoebus
rwlock,10000,0.9,0.000010,0.000319,0.000099,0.012282,0.000056,0.000001,0.012767,phoebus
sequential,100,0.1,0.000012,0.000003,0.0,0.002585,0.0,0.0,0.002601,phoebus
sequential,100,0.5,0.000007,0.000003,0.0,0.002856,0.0,0.0,0.002867,phoebus
sequential,100,0.9,0.000008,0.000002,0.0,0.003591,0.0,0.0,0.003602,phoebus
sequential,1000,0.1,0.000022,0.000029,0.0,0.002334,0.0,0.0,0.002386,phoebus
sequential,1000,0.5,0.000014,0.000016,0.0,0.003279,0.0,0.0,0.003310,phoebus
sequential,1000,0.9,0.000008,0.000014,0.0,0.004951,0.0,0.0,0.004974,phoebus
sequential,10000,0.1,0.000007,0.000144,0.0,0.002332,0.0,0.0,0.002484,phoebus
sequential,10000,0.5,0.000007,0.000164,0.0,0.003313,0.0,0.0,0.003485,phoebus
sequential,10000,0.9,0.000014,0.000190,0.0,0.003798,0.0,0.0,0.004003,phoebus
coarse,100,0.1,0.000008,0.000003,0.000174,0.008643,0.000001,0.000000,0.008829,phoebus
coarse,100,0.5,0.000006,0.000003,0.000115,0.011654,0.000000,0.000001,0.011779,phoebus
coarse,100,0.9,0.000006,0.000002,0.000120,0.010354,0.000000,0.000000,0.010482,phoebus
coarse,1000,0.1,0.000008,0.000015,0.000097,0.011670,0.000000,0.000000,0.011790,phoebus
coarse,1000,0.5,0.000010,0.000014,0.000136,0.012878,0.000000,0.000001,0.013039,phoebus
coarse,1000,0.9,0.000008,0.000018,0.000151,0.009846,0.000001,0.000000,0.010024,phoebus
coarse,10000,0.1,0.000007,0.000154,0.000136,0.012204,0.000000,0.000001,0.012502,phoebus
coarse,10000,0.5,0.000007,0.000143,0.000146,0.012006,0.000000,0.000001,0.012303,phoebus
coarse,10000,0.9,0.000007,0.000174,0.000099,0.010139,0.000000,0.000001,0.010420,phoebus
fine,100,0.1,0.000006,0.000004,0.000103,0.013754,0.000001,0.000001,0.013870,phoebus
fine,100,0.5,0.000006,0.000004,0.000097,0.012429,0.000001,0.000000,0.012537,phoebus
fine,100,0.9,0.000007,0.000004,0.000099,0.010691,0.000001,0.000000,0.010802,phoebus
fine,1000,0.1,0.000008,0.000030,0.000098,0.015374,0.000002,0.000000,0.015512,phoebus
fine,1000,0.5,0.000007,0.000027,0.000143,0.013466,0.000003,0.000000,0.013646,phoebus
fine,1000,0.9,0.000007,0.000027,0.000101,0.011657,0.000003,0.000000,0.011795,phoebus
fine,10000,0.1,0.000008,0.000311,0.000131,0.016153,0.000058,0.000001,0.016662,phoebus
fine,10000,0.5,0.000008,0.000291,0.000104,0.015332,0.000060,0.000001,0.015796,phoebus
fine,10000,0.9,0.000010,0.000299,0.000181,0.011402,0.000059,0.000000,0.011951,phoebus
rwlock,100,0.1,0.000006,0.000004,0.000120,0.013891,0.000001,0.000000,0.014022,phoebus
rwlock,100,0.5,0.000007,0.000005,0.000122,0.012698,0.000001,0.000000,0.012833,phoebus
rwlock,100,0.9,0.000006,0.000004,0.000135,0.010614,0.000000,0.000000,0.010759,phoebus
rwlock,1000,0.1,0.000010,0.000031,0.000094,0.017693,0.000002,0.000000,0.017830,phoebus
rwlock,1000,0.5,0.000007,0.000034,0.000095,0.014521,0.000003,0.000000,0.014660,phoebus
rwlock,1000,0.9,0.000008,0.000030,0.000097,0.011386,0.000003,0.000000,0.011524,phoebus
rwlock,10000,0.1,0.000008,0.000321,0.000116,0.014771,0.000063,0.000001,0.015280,phoebus
rwlock,10000,0.5,0.000007,0.000337,0.001257,0.009865,0.000083,0.000001,0.011550,phoebus
rwlock,10000,0.9,0.000008,0.000317,0.000107,0.013001,0.000050,0.000000,0.013483,phoebus
sequential,100,0.1,0.000008,0.000002,0.0,0.002371,0.0,0.0,0.002381,phoebus
sequential,100,0.5,0.000006,0.000003,0.0,0.002792,0.0,0.0,0.002801,phoebus
sequential,100,0.9,0.000006,0.000002,0.0,0.003675,0.0,0.0,0.003684,phoebus
sequential,1000,0.1,0.000013,0.000017,0.0,0.003321,0.0,0.0,0.003352,phoebus
sequential,1000,0.5,0.000009,0.000014,0.0,0.004162,0.0,0.0,0.004186,phoebus
sequential,1000,0.9,0.000011,0.000030,0.0,0.003890,0.0,0.0,0.003931,phoebus
sequential,10000,0.1,0.000074,0.000156,0.0,0.002564,0.0,0.0,0.002795,phoebus
sequential,10000,0.5,0.000010,0.000174,0.0,0.004232,0.0,0.0,0.004417,phoebus
sequential,10000,0.9,0.000008,0.000144,0.0,0.004811,0.0,0.0,0.004965,phoebus
coarse,100,0.1,0.000006,0.000003,0.000152,0.011152,0.000000,0.000000,0.011313,phoebus
coarse,100,0.5,0.000007,0.000002,0.000126,0.010766,0.000001,0.000000,0.010902,phoebus
coarse,100,0.9,0.000007,0.000003,0.000307,0.009802,0.000001,0.000000,0.010120,phoebus
coarse,1000,0.1,0.000007,0.000014,0.000091,0.011957,0.000000,0.000001,0.012070,phoebus
coarse,1000,0.5,0.000008,0.000016,0.000164,0.011256,0.000001,0.000001,0.011446,phoebus
coarse,1000,0.9,0.000010,0.000018,0.000157,0.010365,0.000000,0.000000,0.010550,phoebus
coarse,10000,0.1,0.000009,0.000142,0.000154,0.011548,0.000000,0.000001,0.011854,phoebus
coarse,10000,0.5,0.000008,0.000140,0.000095,0.011670,0.000000,0.000001,0.011914,phoebus
coarse,10000,0.9,0.000008,0.000146,0.000152,0.009122,0.000001,0.000001,0.009430,phoebus
fine,100,0.1,0.000007,0.000005,0.000115,0.014000,0.000001,0.000000,0.014128,phoebus
fine,100,0.5,0.000007,0.000004,0.000140,0.012657,0.000001,0.000000,0.012809,phoebus
fine,100,0.9,0.000006,0.000004,0.000098,0.011201,0.000001,0.000000,0.011310,phoebus
fine,1000,0.1,0.000007,0.000027,0.000113,0.015203,0.000003,0.000000,0.015353,phoebus
fine,1000,0.5,0.000008,0.000029,0.000121,0.013721,0.000002,0.000000,0.013881,phoebus
fine,1000,0.9,0.000007,0.000029,0.000142,0.011485,0.000003,0.000000,0.011666,phoebus
fine,10000,0.1,0.000008,0.000360,0.000219,0.015460,0.000060,0.000000,0.016107,phoebus
fine,10000,0.5,0.000011,0.000303,0.000260,0.014150,0.000076,0.000001,0.014801,phoebus
fine,10000,0.9,0.000007,0.000323,0.000126,0.012294,0.000067,0.000000,0.012817,phoebus
rwlock,100,0.1,0.000006,0.000004,0.000132,0.014383,0.000001,0.000000,0.014526,phoebus
rwlock,100,0.5,0.000006,0.000006,0.000118,0.013639,0.000001,0.000000,0.013770,phoebus
rwlock,100,0.9,0.000007,0.000004,0.000093,0.011241,0.000000,0.000001,0.011346,phoebus
rwlock,1000,0.1,0.000008,0.000029,0.000132,0.016022,0.000003,0.000000,0.016195,phoebus
rwlock,1000,0.5,0.000009,0.000033,0.000132,0.014725,0.000002,0.000000,0.014901,phoebus
rwlock,1000,0.9,0.000011,0.000031,0.000136,0.011358,0.000003,0.000000,0.011539,phoebus
rwlock,10000,0.1,0.000008,0.000356,0.000094,0.015892,0.000056,0.000001,0.016407,phoebus
rwlock,10000,0.5,0.000008,0.000331,0.000097,0.014291,0.000054,0.000000,0.014781,phoebus
rwlock,10000,0.9,0.000008,0.000332,0.000120,0.011862,0.000054,0.000000,0.012376,phoebus
sequential,100,0.1,0.000013,0.000004,0.0,0.002559,0.0,0.0,0.002577,phoebus
sequential,100,0.5,0.000007,0.000003,0.0,0.002751,0.0,0.0,0.002762,phoebus
sequential,100,0.9,0.000006,0.000002,0.0,0.006695,0.0,0.0,0.006704,phoebus
sequential,1000,0.1,0.000012,0.000050,0.0,0.002791,0.0,0.0,0.002854,phoebus
sequential,1000,0.5,0.000011,0.000017,0.0,0.004401,0.0,0.0,0.004430,phoebus
sequential,1000,0.9,0.000011,0.000018,0.0,0.005003,0.0,0.0,0.005033,phoebus
sequential,10000,0.1,0.000009,0.000151,0.0,0.002514,0.0,0.0,0.002675,phoebus
sequential,10000,0.5,0.000007,0.000145,0.0,0.003290,0.0,0.0,0.003443,phoebus
sequential,10000,0.9,0.000010,0.000165,0.0,0.003959,0.0,0.0,0.004134,phoebus
coarse,100,0.1,0.000007,0.000003,0.000357,0.010977,0.000000,0.000000,0.011344,phoebus
coarse,100,0.5,0.000006,0.000002,0.000163,0.011298,0.000000,0.000001,0.011470,phoebus
coarse,100,0.9,0.000007,0.000003,0.000125,0.010203,0.000000,0.000000,0.010338,phoebus
coarse,1000,0.1,0.000008,0.000014,0.000091,0.011740,0.000000,0.000001,0.011854,phoebus
coarse,1000,0.5,0.000007,0.000014,0.000228,0.011349,0.000000,0.000001,0.011599,phoebus
coarse,1000,0.9,0.000009,0.000015,0.000184,0.009728,0.000000,0.000001,0.009937,phoebus
